Report Type,Date,Link
10-Q,2023-08-04,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-23-000012-index.htm
10-Q,2023-04-28,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-23-000008-index.htm
10-K,2023-02-03,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-23-000004-index.htm
10-Q,2022-10-28,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-22-000023-index.htm
10-Q,2022-07-29,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-22-000019-index.htm
10-Q,2022-04-29,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-22-000013-index.htm
10-K,2022-02-04,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-22-000005-index.htm
10-Q,2021-10-29,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-21-000028-index.htm
10-Q,2021-07-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-21-000020-index.htm
10-Q,2021-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-21-000010-index.htm
10-K,2021-02-03,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-21-000004-index.htm
10-Q,2020-10-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-20-000030-index.htm
10-Q,2020-07-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-20-000021-index.htm
10-Q,2020-05-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-20-000010-index.htm
10-K,2020-01-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-20-000004-index.htm
10-Q,2019-10-25,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000089-index.htm
10-Q,2019-07-26,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000071-index.htm
10-Q,2019-04-26,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000043-index.htm
10-K,2019-02-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000004-index.htm